Company Name,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Year Founded,Country,Maturity
SkySpecs,https://skyspecs.com,"SkySpecs develops unmanned aerial vehicles for general purpose aerial data collection and infrastructure inspections for hard-to-reach structures, such as bridges and tall wind turbines. With a SkySpecs UAV, an inspector will arrive at a job site, equip the vehicle with a variety of sensors, and then hand-deploy it. During the inspection, they will provide high-level commands to inspect the structure, while advanced artificial intelligence handles complex tasks such as obstacle avoidance, stabilization, and three-dimensional localization. Once the inspection is complete, the data can be downloaded and reviewed later by the inspector. SkySpecs couples the hardware with an analytics dashboard to interpret and map the massive amount of data gathered during flight. As of 2017, it claims to be the only company that has completed 3,600 turbine inspections at over 70 wind farms in the U.S. and Europe.",Series B,"12,978,946",Decentralized Energy,2012,USA,Distant
The Sun Exchange,https://thesunexchange.com,"The Sun Exchange is a peer-to-peer lending platform that connects people wanting to invest in solar energy with people that want to access it. Through it, people can crowd-lend their money so that community centers, schools, businesses, factories and even whole neighborhoods can achieve their goals of going solar and reducing running costs. The Sun Exchange hosts solar projects worldwide, so individuals can choose from a portfolio of investments.",Seed,"2,160,000",Decentralized Energy,2014,South Africa,Emerging
United Wind,https://unitedwind.com,United Wind offers wind lease where the company leases out turbines and the customer pays for its monthly rent and electricity bill. The company offers installation services and operation and maintenance for wind turbines. They set up small scale wind turbine projects in rural areas and the power thus generated is either plugged into the grid or is used by the users.,Series B,"209,000,000",Decarbonization,2013,USA,Emerging
Off Grid Electric,https://offgrid-electric.com,"Off-Grid Electric designs, manufactures, installs and sells solar backed systems for homes mainly in the rural and off-grid areas in the countries of Tanzania and Rwanda. The company enables customers with pay-as-you-go service where money can be paid using mobile banking services like M-Pesa and has partnered with IFC, Power Africa, USAID etc.",Series D,"113,000,000",Decarbonization,2011,Tanzania,Distant
BrightCurrent,https://brightcurrent.com,Leading direct sales marketplace for home solar and other clean energy services.,Acquired,"1,600,000",Decarbonization,2012,USA,Existing
Black Rock Tidal Power,https://blackrocktidalpower.com,"Black Rock Tidal Power deliver cost-effective, turn-key solutions for in-stream tidal power generation. Their services cover the range of site-specific platform designs and corresponding installation procedures to project management, manufacturing, and commissioning of devices. It specializes in the development and implementation of semi-submerged TRITON platforms developed by TidalStream, that carry a multitude of SCHOTTEL Instream turbines (SIT). It has partnered with Aecon for installing a tidal energy project in Nova Scotia.",Series B,"8,109,999",Decentralized Energy,2013,Canada,Distant
Kingo,https://kingoenergy.com,"Kingo is a renewable energy services company that provides pre-paid solar power based solutions to rural communities without access to an electricity grid. The company claims that the users of their prepaid product can connect 3 light bulbs and 1 cell phone to the system at any one time.  On average, this system provides 5 hours of light, as well as enough charge for two cell phones daily. Additionally their technology is designed and manufactured to withstand rural living conditions where dust, heat, insects, rodents and moisture are all factors in need of consideration.",Series B,"19,000,000",Decarbonization,2013,Guatemala,Existing
Bboxx,https://bboxx.co.uk,"BBOXX (a spin-off from a student-led charity at Imperial College London ) engineers, manufactures, finances and sells plug & play solar systems. These installed solar systems can be controlled and monitored remotely. The company also offers different consumer goods which are compatible to be charged by the solar system like shaver, radio, TV, etc.",Series C,"39,900,000",Decarbonization,2010,England,Distant
Dividend Solar,https://dividendfinance.com,Leading financing platform supporting investment in energy-efficiency and sustainable real-property improvement.,Acquired,"364,500,000",Decentralized Energy,2013,USA,Existing
Nippon Renewable Energy,https://venaenergy.com,Nippon Renewable Energy is a solar energy developer and is headquartered in Tokyo. NRE manages and operates solar power facilities from the development and construction stages through to the operational stage.,Acquired,"250,000,000",Decarbonization,2013,Singapore,Existing
Pegasus Solar,https://pegasussolar.com,"Pegasus Solar manufactures solar racking structures and commercialized it by the name 'LightSpeed' which are rail-free solar mounts. These racking systems do not have the rail, on which the solar panels usually rest, thus significantly reduces the logistics cost, cost of installation and installation time for residential solar systems.",Series A,"17,285,725",Decentralized Energy,2012,USA,Existing
LevelTen Energy,https://leveltenenergy.com,"LevelTen Energy offers a renewable energy transaction platform connecting C&I power buyers to PPAs from utility-scale wind, solar, and storage projects by removing risk, reducing complexity, and deploying sharper analytics. LevelTen's next-generation PPA product enables customers of various sizes to access the financial security of fixed-price renewables, economic benefits of at-scale projects, portfolio advantages of geographic and resource diversity and sophisticated analysis of respected wholesale market experts.",Series A,"6,790,119",Decentralized Energy,2016,USA,Distant
Freyr Energy,https://freyrenergy.com,"Freyr Energy provides solar system installation services for homeowners, businesses & communities. Claims to have developed 1k+ solar installations. Specializes in solar rooftop PV systems, microgrids, petrol pumps and water pumps. Developed 900+ solar PV projects from 1kW to 500kW +. Projects include a 100kW grid-tied system for a college, a 25W grid-tied system for a hotel, a 6.5kW off-grid solar system for a fuel station and many others. Also provides the Freyr SunPro solar monitoring app.",Series A,"4,394,020",Decarbonization,2014,India,Existing
QD Solar,https://qdsolarinc.com,QD Solar manufactures photovoltaic cells using colloidal quantum dot technology. Its thin film sheet integrated into conventional silicon solar panels claims to have the potential to increase the energy output of solar panels by 20%. The company is planning an organic growth by developing quantum dot-based solar material for any flexible surface to generate energy.,Series A,"1,910,000",Decentralized Energy,2014,Canada,Distant
UbiQD,https://ubiqd.com,"UbiQD is working to commercialize low-cost and low-toxicity quantum dot technologies. The company is licensing technology developed at Los Alamos National Laboratory and M.I.T. UbiQD produces low-toxicity quantum dots (QDs) which is being used to develop semi-transparent windows that convert the energy-passive facades of buildings into distributed energy generation units, while simultaneously reducing the heat gain of the building. The technology works by tinting a window with a fluorophore which absorbs sunlight and subsequently luminesces monochromatic light. This light is guided through the window to the edge where a small PV device converts the light into electricity. The LSC is semi-transparent, and filters visible light neutrally, so as not to impart unnatural color to the transmitted light.",Seed,"462,500",Decentralized Energy,2014,USA,Distant
Wunder,https://wundercapital.com,"Wunder is a financier that provides construction and term financing for commercial solar projects , including traditional PPAs, feed-in-tarrifs, community solar developments, unrated credit offtakers.",Series B,"116,800,000",Decentralized Energy,2014,Germany,Emerging
Sighten,https://sighten.io,"Sighten is an independent software platform fostering growth in the residential market. End-to-end solution from lead generation, proposals, financing platform (access to PAC, PPA, loans, cash), installation, channel management",Series A,"3,500,000",Decentralized Energy,2012,USA,Emerging
Primus Power,https://primuspower.com,Energy storage using flow battery,Series D,"94,000,000",Decentralized Energy,2009,USA,Emerging
ViZn Energy,https://viznenergy.com,Large Scale Energy Storage Solutions For Grid Applications,Series D,"53,850,000",Decentralized Energy,2009,USA,Emerging
SAFCell,https://safcell.com,Solid Acid Fuel Cells,Series A,"6,500,000",Decentralized Energy,2009,USA,Emerging
NanoOne,https://nanoone.ca,Develops and manufactures materials for energy storage using nanotechnology and nano-structured composites,Public,"67,200,000",Decentralized Energy,2014,Canada,Distant
Jiangsu Koshi New Energy Materials,https://ue-bat.com,Lithium battery manufacturer,Series A,"5,310,000",Decentralized Energy,2016,China,Existing
Big Delta Systems,https://bigdeltasystems.com,Developers of Spray based Li-Ion batteries,Seed,"1,100,000",Decentralized Energy,2014,USA,Emerging
Advano,https://advanotech.com,"Nanoparticle simulation, modeling & manufacturing solutions",Seed,"620,000",Decentralized Energy,2013,USA,Distant
ClearCell Power,https://clearcellpower.com,Fuel cell project developers,Seed,"631,000",Decentralized Energy,2015,USA,Existing
Pinus Fuel Cell,https://pinusfuelcell.com,Developer of fuel cells and mobile energy solutions,Public,,Decentralized Energy,2017,Germany,Existing
Printed Energy,https://printedenergy.com.au,Printed battery and solar cell developer,Seed,,Decentralized Energy,2016,Australia,Distant
GridX,https://gridx.de,DER management system developer,Series A,,Decentralized Energy,2016,Germany,Emerging
Pliant Power Devices,https://pliantpowerdevices.com,Developer of flexible lithium-ion batteries using printing technology,Seed,,Decentralized Energy,2017,Canada,Distant
3DBattery,https://3dbattery.co.il,Micro battery solutions for flexible and wearable technology,Seed,,Decentralized Energy,2016,Israel,Distant
Qinous,https://qinous.de,Plug & play energy storage solution provider,Seed,,Decentralized Energy,2013,Germany,Existing
Jiangsu Kai new energy materials,https://pioneerenergy.cn,Heat energy storage system developer,Series A,,Decentralized Energy,2011,China,Emerging
Ferroamp,https://ferroamp.com,Smart Energy Management system developer,Series A,"1,750,000",Energy & Data Management,2010,Sweden,Emerging
Ion Energy Labs,https://ionenergy.co,Stealth mode energy storage company,Seed,,Decentralized Energy,2016,India,Emerging
Ensotec,https://ensotec.de,Nickel-Iron battery manufacturer for renewable energy storage,Seed,,Decentralized Energy,2013,Germany,Existing
Mobix Chip,https://mobixchip.ru,"AMR meters, RF and PLC based communication systems",Series A,"6,450,000",Smart Homes,2011,Russia,Existing
Pentalum,https://pentalum.com,"Pentalum develops cost effective, patent pending, wind LiDAR (Light Detection And Ranging) system, for remote sensing of wind. The system targets all three main wind farm applications: Wind resource assessment, Wind farm operation optimization and Wind forecasting.  Pentalum is a privately held company, funded by VCs and headed by highly experienced entrepreneurs, professionals in optics, fluid mechanics and atmospheric remote sensing.",Series C,"23,000,000",Decarbonization,2009,Israel,Distant
Firstfuel,https://firstfuel.com,"FirstFuel Software offers building-wide energy analytics that help utilities and government agencies deliver energy efficiency across commercial building portfolios. Using only electric interval meter data and a building address, FirstFuel produces a remote set of building-specific performance benchmarks and custom recommendations that utilities and government agencies can provide to building operators – without the use of onsite assessments or device installations. Customers include E.ON, Southern California Edison (SCE), the U.S. Gov. and DOD.",Series D,"45,000,000",Connected Buildings,2011,USA,Emerging
Kiwigrid,https://kiwigrid.com,"Kiwigrid develops and runs an open communication and control platform for energy management connectivity of producers, consumers, storage, and e-mobility within the Smart Grid. Their products include Energy-Manager Rail, a communication protocol, Energy Service Gateway - to collect information from smart meters, Energy-Manager Wall - a home energy management,  Installer Center - a Energy App which helps installers and service teams to obtain a complete overview of their customers and all their installed devices. Their Energy IoT platform includes four main components - HEMS, IEMS, Metering solution similar to meter data management and control of distributed energy sources.",Series C,,Energy & Data Management,2011,Germany,Distant
BuildingIQ,https://buildingiq.com,"BuildingIQ is an energy management software company for commercial buildings. BuildingIQ’s suite of software offerings utilizes Predictive Energy Optimization which forecasts energy demand and automatically adjusts a building’s HVAC settings to continuously optimize energy use and peak loads. BuildingIQ works with existing building energy management systems and utility demand response systems, and incorporates weather forecasts, occupant comfort, utility prices and demand response signals in its optimization algorithms. The company has been honored as Winner of the AIRAH Award for Excellence in Innovation, Tech23’s Greatest Potential Award, Red Herring’s Asia 100 Award and most recently, Environmental Design + Construction and Sustainable Facility’s Readers’ Choice Award and Connectivity Week’s Buildy Award.",Public,"16,100,000",Energy & Data Management,2009,USA,Emerging
OpTerra Energy Services,https://engieservices.us,"OpTerra Energy Services is a national engineering consultant and design build firm which reduces operating costs through energy efficiency measures that include improved controls, process improvements, replacing inefficient equipment, lighting retrofits, converting energy sources or redesigning more energy efficient HVAC systems in industrial, commercial, and institutional facilities. Oaktree Capital had previously invested in the company and had also assisted during the merger with Chevron Energy Solutions in 2014",Acquired,,Energy Efficiency & Automation,2010,USA,Existing
Smart Buildings Ltd.,https://smart-buildings.co.uk,"Smart buildings has developed products to connect building and provide central control over them. Company has developed Smart Vue an application based dashboard, this dashboard is managed within the cloud where streams of data can be accessed. Additionally company also develops hardware for collecting data. Company's solution can be integrated to the enterprise allowing smart devices to push data directly into building infrastructure.",Acquired,,Connected Buildings,2012,England,Emerging
Grid4C,https://grid4c.com,"Grid4C offers a SaaS-based predictive analytics platform which uses proprietary machine learning and big data algorithm and provides real-time load forecasts at the granular level such as the meter/appliance. The platform creates models and monitors every meter/appliance separately. It automatically learns the patterns and behavior to provide real-time energy forecasts and actionable insights. Used for load research and forecasting, operational monitoring, revenue protection, solar power forecasting, customer segmentation and targeting, cross sales analysis, customer churn analysis, and customer engagement.Grid4C's software analyzes billions of meter read from 3 continents and produces more than 10M predictions for utilities' production and customer systems every day.",Series A,"6,500,000",Asset Health & Optimization ,2013,Israel,Emerging
ADC Technologies,https://adct.ca,Energy-efficient cooling solution provider for data centers,Seed,,Energy & Data Management,2014,Canada,Existing
ClimeOn,https://climeon.com,"Climeon produces heat power systems, converting waste heat and geothermal heat into clean electricity. Each unit contains heat exchangers, which transfer heat from underneath the earth, and convert that energy to turn a custom-designed turbine that generates electricity up to 150 kW of power",Seed,,Decarbonization,2011,Sweden,Distant
Archimedes Controls,https://archimedescontrols.com,Security monitoring and energy management system,Seed,,Energy & Data Management,2015,USA,Existing
Artis Energy,https://artisenergy.com,Cloud-based platform for energy intelligence and managed services provider,Series A,,Connected Buildings,2016,USA,Emerging
Brilliant,https://brilliant.tech,Hub for controlling and managing smart home devices,Series A,"21,000,000",Smart Homes,2015,USA,Existing
Carbon Relay,https://carbonrelay.com,AI-driven solutions provider for optimal energy efficiency in data centers,Series A,"6,000,000",Energy Efficiency & Automation,2015,USA,Existing
CIM,https://cim.io,Provider of building optimisation software,Series A,"3,000,000",Connected Buildings,2009,Australia,Existing
Cloud&Heat,https://cloudandheat.com,Energy and cost efficient data center,Series B,"16,671,060",Connected Buildings,2011,Germany,Existing
Concurrent Thinking,https://concurrent-thinking.com,Develops products which help reduce energy usage in data centers,Series A,"6,203,076",Energy Efficiency & Automation,2017,England,Existing
DABBEL,https://dabbel.eu,Offers energy management systems for commercial buildings,Seed,,Energy & Data Management,2016,Germany,Existing
deeptune,https://deeptune.de,"Provider of solutions for energy storage, power management in data centres, and data transmission",Seed,"17,366",Decentralized Energy,2018,Germany,Emerging
Device42,https://device42.com,Data center environment management software,Series B,"37,500,000",Connected Buildings,2010,USA,Distant
Ebullient,https://ebullientcooling.com,Cooling systems for data centres.,Series A,"3,425,000",Connected Buildings,2012,USA,Existing
Ecovena,https://ecovena.com,HVAC management solution provider for multi-residential and commercial buildings,Seed,,Connected Buildings,2011,Canada,Existing
EFICIA,https://eficia.com,Designer of PLC-based devices and cloud applications for energy monitoring of buildings,Seed,"2,499,915",Connected Buildings,2013,France,Existing
Electrify,https://electrify.asia,Electricity marketplace on blockchain,Seed,,Decentralized Energy,2017,Singapore,Distant
EnerAllies,https://enerallies.com,Multi-site HVAC management for restaurants and chains,Series A,,Connected Buildings,2011,USA,Existing
Energiency,https://energiency.com,Cloud-based platform for optimizing industrial energy efficiency,Series A,"3,400,000",Energy Efficiency & Automation,2013,France,Emerging
Essess,https://essess.com,Energy efficiency software & services,Series A,"10,750,000",Connected Buildings,2011,USA,Existing
EVolution Networks,https://evolution-networks.com,AI-based data analytics engine to optimize energy consumption,Series B,"22,500,000",Energy Efficiency & Automation,2011,USA,Existing
Greenstorc,https://greenstorc.com,Low-heat geothermal to energy and industrial waste heat recovery,Seed,"1,756,050",Decarbonization,2017,England,Distant
Grid Edge,https://gridedge.co.uk,Artificial intelligence to predict future energy demand in buildings,Series A,"257,370",Connected Buildings,2016,England,Distant
Guangzhou Boyt Technology,https://poi-t.com,Technology solutions provider for smart manufacturing,Seed,,Data Aggregation & Analytics,2014,China,Existing
HEKR,https://hekr.me,Cloud based energy management solutions provider,Seed,,Energy & Data Management,2014,China,Existing
Homi,https://myhomi.io,Developer of end-to-end home automation solution,Seed,"1,300,000",Smart Homes,2016,China,Emerging
Iteros,https://iteros.com,Cloud based DER and microgrid control software,Seed,"830,243",Decentralized Energy,2016,USA,Emerging
IzyPeo,https://izypeo.com,Provider of carbon and energy monitoring and management systems,Series A,"393,153",Connected Buildings,2010,France,Distant
METRON,https://metronlab.com,Provider of energy performance monitoring solutions for industries,Series A,"22,730,700",Data Aggregation & Analytics,2013,France,Emerging
Metry,https://metry.io,Collects meter data from utilities,Seed,"703,540",Data Aggregation & Analytics,2012,Sweden,Existing
Minibems,https://minibems.com,Cloud-based platform for monitoring building heating systems and reducing energy consumption,Seed,,Energy Efficiency & Automation,2016,England,Distant
Modern Electron,https://modernelectron.com,Heat to energy technology solutions provider,Series A,"10,000,000",Decarbonization,2015,USA,Emerging
Mysa,https://getmysa.com,Smart Wifi thermostat designed to work with high-voltage heating system,Seed,"2,000,000",Smart Homes,2016,Canada,Existing
Octant Innovations,https://octantinnovations.com,Developer of HVAC automation systems,Seed,"315,000",Energy Efficiency & Automation,2013,USA,Existing
Openergy,https://openergy.fr,Building monitoring platform,Seed,,Connected Buildings,2013,France,Existing
Optio3,https://optio3.com,IoT based web platform to monitor energy consumption in commercial buildings,Series A,"5,795,000",Connected Buildings,2016,USA,Existing
othermo,https://othermo.de,Provider of web-based industry management solutions,Seed,,Data Aggregation & Analytics,2018,Germany,Existing
